		B-Baseline
1051.76	362.849	109.42769760891522
1053.37	363.818	110.39669760891522
1054.98	365.98	112.55869760891525
1056.6	362.323	108.90169760891521
1058.21	356.222	102.80069760891521
1059.81	353.111	99.68969760891522
1061.42	345.859	92.43769760891522
1063.03	343.293	89.87169760891524
1064.64	341.091	87.66969760891524
1066.25	343.434	90.01269760891526
1067.86	341.495	88.07369760891524
1069.46	342.424	89.00269760891521
1071.07	345.98	92.55869760891525
1072.67	347.98	94.55869760891525
1074.28	346.263	92.84169760891521
1075.89	348.748	95.32669760891523
1077.49	347.697	94.27569760891524
1079.09	347.273	93.85169760891526
1080.7	349.899	96.47769760891524
1082.3	359.717	106.29569760891522
1083.9	363.677	110.25569760891526
1085.51	374.788	121.36669760891525
1087.11	386.081	132.65969760891525
1088.71	396.141	142.71969760891525
1090.31	407.394	153.97269760891524
1091.91	416.505	163.08369760891523
1093.51	416.444	163.02269760891525
1095.11	414.121	160.69969760891522
1096.71	407.919	154.49769760891522
1098.31	410.667	157.2456976089152
1099.91	409.232	155.81069760891526
1101.51	412.263	158.8416976089152
1103.1	417.374	163.95269760891526
1104.7	428.869	175.44769760891526
1106.3	439.374	185.95269760891526
1107.89	448.263	194.8416976089152
1109.49	455.535	202.11369760891526
1111.08	465.455	212.03369760891522
1112.68	470.828	217.4066976089152
1114.28	476.485	223.06369760891525
1115.87	472.646	219.22469760891525
1117.46	465.111	211.68969760891522
1119.06	453.98	200.55869760891525
1120.65	434.323	180.9016976089152
1122.24	418.364	164.9426976089152
1123.83	400.465	147.0436976089152
1125.42	384.727	131.3056976089152
1127.02	368.848	115.42669760891525
1128.6	354.141	100.71969760891525
1130.19	341.071	87.64969760891526
1131.79	335.96	82.53869760891521
1133.37	328.808	75.38669760891523
1134.96	326.242	72.82069760891525
1136.55	325.313	71.89169760891522
1138.14	325.414	71.99269760891522
1139.73	320.889	67.46769760891524
1141.31	321.394	67.97269760891524
1142.9	317.879	64.45769760891525
1144.49	316.081	62.65969760891525
1146.07	315.354	61.93269760891522
1147.66	314.162	60.74069760891521
1149.24	313.313	59.89169760891522
1150.83	314.445	61.02369760891523
1152.41	319.111	65.68969760891522
1153.99	320.121	66.69969760891522
1155.58	321.333	67.91169760891526
1157.16	318.748	65.32669760891523
1158.74	320.505	67.08369760891523
1160.32	316.283	62.86169760891525
1161.9	312.566	59.14469760891521
1163.48	307.879	54.457697608915254
1165.07	304.121	50.699697608915216
1166.64	298.121	44.699697608915216
1168.22	292.748	39.326697608915225
1169.8	288.828	35.40669760891521
1171.38	286.566	33.14469760891521
1172.96	285.677	32.255697608915256
1174.54	283.798	30.376697608915237
1176.12	283.495	30.07369760891524
1177.69	284.545	31.12369760891525
1179.27	286.242	32.82069760891525
1180.84	290.808	37.38669760891523
1182.42	292.242	38.82069760891525
1183.99	293.111	39.689697608915225
1185.57	299.758	46.336697608915216
1187.14	296.97	43.54869760891526
1188.72	295.697	42.27569760891524
1190.29	295.394	41.97269760891524
1191.86	293.111	39.689697608915225
1193.43	293.091	39.66969760891524
1195.01	294.646	41.22469760891525
1196.58	294.566	41.14469760891521
1198.15	297.636	44.21469760891526
1199.72	296.849	43.427697608915224
1201.29	302.828	49.40669760891521
1202.86	303.778	50.356697608915255
1204.43	303.98	50.55869760891525
1206.0	305.253	51.83169760891522
1207.57	306.263	52.84169760891521
1209.14	309.354	55.93269760891522
1210.7	310.828	57.40669760891521
1212.27	311.172	57.75069760891526
1213.84	308.02	54.59869760891522
1215.4	305.919	52.49769760891522
1216.97	305.192	51.77069760891524
1218.53	304.06	50.63869760891524
1220.1	303.96	50.538697608915214
1221.66	299.454	46.03269760891524
1223.23	296.667	43.24569760891521
